alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,rayon,alim_code,alim_nom_fr,energieKj,energieKcal,fibres,calcium,cuivre,fer,iode,magnesium,manganese,phosphore,potassium,selenium,sodium,zinc,vitamineA,vitamineD,vitamineE,vitamineK1,vitamineC,vitamineB1,vitamineB2,vitamineB3,vitamineB5,vitamineB6,vitamineB9,vitamineB12
2,204,20401,Fruits et légumes,13037,"Poire, pulpe et peau, crue",0.0,0.0,2.9,6.46,0.071,0.072,0.4,8.23,0.03,15.4,132.0,5.0,1.8,0.097,0.0,0.0,0.41,4.4,4.62,0.015,0.021,0.23,0.06,0.022,11.5,0.0
2,204,20401,Fruits et légumes,13039,"Pomme, pulpe et peau, crue",0.0,0.0,1.4,5.34,0.041,0.099,0.2,6.47,0.036,14.4,119.0,5.0,1.5,0.031,0.0,0.0,0.37,2.39,6.25,0.016,0.019,0.091,0.079,0.048,6.0,0.0
2,204,20401,Fruits et légumes,13040,"Pomelo (dit Pamplemousse), pulpe, cru",169.0,39.8,0.8,14.0,0.02,0.06,10.0,7.2,0.02,17.0,140.0,10.0,2.5,0.07,0.0,0.0,0.04,0.4,42.4,0.043,0.005,0.05,0.19,0.36,52.9,0.0
2,204,20401,Fruits et légumes,13050,"Pomme, pulpe, crue",0.0,0.0,1.3,5.0,0.031,0.07,0.1,4.0,0.038,11.0,90.0,0.15,0.0,0.05,0.0,0.0,0.05,0.6,4.0,0.019,0.028,0.091,0.071,0.037,0.0,0.0
2,204,20401,Fruits et légumes,13067,"Citron vert ou Lime, pulpe, cru",170.0,40.2,4.3,57.0,0.08,0.2,10.0,14.0,0.09,24.0,190.0,10.0,6.0,0.15,0.0,0.0,0.45,0.4,29.3,0.0075,0.023,0.25,0.23,0.018,36.5,0.0
2,204,20401,Fruits et légumes,13100,"Prune, crue",0.0,0.0,1.5,7.29,0.06,0.16,0.4,6.0,0.076,17.8,149.0,0.11,3.0,0.096,0.0,0.0,0.33,6.4,7.25,0.024,0.026,0.41,0.14,0.037,4.0,0.0
2,204,20401,Fruits et légumes,13112,"Raisin, cru",0.0,0.0,0.9,10.0,0.13,0.36,0.75,7.0,0.071,20.0,191.0,0.8,2.0,0.07,0.0,0.0,0.19,14.6,3.2,0.069,0.07,0.19,0.05,0.086,2.0,0.0
2,204,20401,Fruits et légumes,13125,"Citron, zeste, cru",0.0,0.0,10.6,134.0,0.092,0.9,0.0,15.0,0.0,12.0,160.0,7.0,6.0,0.25,0.0,0.0,0.25,0.0,129.0,0.06,0.08,0.4,0.32,0.17,13.0,0.0
2,204,20401,Fruits et légumes,13132,"Myrtille, surgelée, crue",0.0,0.0,2.81,10.0,0.035,0.39,0.0,4.25,0.18,10.0,55.5,0.0,1.0,0.068,0.0,0.0,0.5,17.1,8.08,0.029,0.041,0.45,0.13,0.059,7.0,0.0
2,204,20404,Epicerie,13001,"Abricot, dénoyauté, sec",1010.0,239.0,8.3,71.0,0.45,1.4,10.0,41.0,0.27,79.0,1400.0,10.0,2.5,0.35,0.0,0.125,5.52,0.4,0.25,0.0075,0.005,1.12,0.69,0.48,8.85,0.0
2,204,20404,Epicerie,13046,"Raisin, sec",1360.0,321.0,4.2,54.0,0.38,1.7,10.0,35.0,0.28,82.0,960.0,10.0,5.0,0.24,0.0,0.125,1.67,12.6,0.25,0.075,0.005,0.53,0.084,0.061,82.0,0.012
2,204,20404,Epicerie,13118,"Pêche, sèche",0.0,0.0,14.3,25.0,0.63,6.8,2.8,80.0,0.67,120.0,945.0,0.0,79.0,0.57,0.0,0.0,0.0,0.0,4.8,0.002,0.065,1.3,0.3,0.15,14.0,0.0
2,204,20405,Epicerie,13430,"Melon, pulpe, cru, prélevé à la Martinique",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,205,0,Epicerie,15000,Amande (avec peau),0.0,0.0,12.5,260.0,0.96,3.4,10.0,270.0,1.9,510.0,800.0,10.0,2.5,3.5,0.0,0.125,22.3,0.4,0.25,0.15,0.29,1.97,0.62,0.07,120.0,0.0
2,205,0,Epicerie,15004,Noisette,0.0,0.0,11.6,120.0,1.7,3.0,10.0,160.0,3.3,340.0,860.0,10.0,2.5,2.3,0.0,0.125,16.3,0.4,0.25,0.35,0.088,0.71,1.64,0.21,65.2,0.0
2,205,0,Epicerie,15005,"Noix, séchée, cerneaux",0.0,0.0,6.7,75.0,1.1,2.2,10.0,140.0,2.9,360.0,430.0,10.0,2.5,2.7,0.0,0.125,1.67,2.4,0.77,0.3,0.05,0.4,0.67,0.19,120.0,0.04
2,205,0,Epicerie,15010,"Sésame, graine",0.0,0.0,14.9,962.0,1.58,14.6,2.5,324.0,1.24,605.0,468.0,26.5,2.31,5.74,0.0,0.0,0.25,0.0,0.0,0.79,0.25,4.52,0.05,0.79,97.0,0.0
2,205,0,Epicerie,15011,"Tournesol, graine",0.0,0.0,6.4,86.5,1.5,4.9,5.0,364.0,1.95,477.0,578.0,8.41,5.5,3.8,0.0,0.0,42.3,0.0,1.4,1.98,0.16,4.8,0.83,1.24,254.0,0.0
2,205,0,Epicerie,15023,"Noix, fraîche",0.0,0.0,3.9,94.0,0.93,1.5,10.0,120.0,2.7,260.0,390.0,10.0,2.5,2.2,0.0,0.125,1.6,2.04,0.25,0.21,0.12,0.38,1.06,0.16,108.0,0.0
2,205,0,Epicerie,15025,Pignon de pin,0.0,0.0,10.0,6.2,1.2,4.6,11.2,227.0,8.2,527.0,662.0,2.5,9.0,5.6,0.0,0.0,8.47,53.9,0.25,0.57,0.11,3.29,0.26,0.14,80.2,0.0
2,205,0,Epicerie,15026,Noix de pécan,0.0,0.0,8.33,69.8,1.2,2.57,2.0,123.0,4.27,277.0,409.0,5.2,1.0,4.61,0.0,0.0,1.4,3.5,0.97,0.59,0.12,1.17,0.82,0.2,19.8,0.0
2,205,0,Epicerie,15027,Noix de macadamia,0.0,0.0,8.6,85.0,0.76,3.69,2.0,130.0,4.13,188.0,368.0,0.0,5.0,1.3,0.0,0.0,0.54,0.0,1.2,1.2,0.16,2.47,0.76,0.28,11.0,0.0
2,205,0,Epicerie,15028,"Cucurbitacées, graine",0.0,0.0,6.0,46.0,1.34,8.82,0.0,592.0,4.54,1230.0,809.0,0.0,7.0,7.81,0.0,0.0,2.18,7.3,1.9,0.27,0.15,4.99,0.75,0.14,58.0,0.0
2,205,0,Epicerie,15035,"Sésame, graine décortiquée",0.0,0.0,11.9,62.4,1.4,6.36,0.2,348.0,1.95,703.0,419.0,24.4,29.0,7.24,0.0,0.0,1.68,0.0,0.0,0.75,0.17,5.16,0.17,0.6,106.0,0.0
2,205,0,Epicerie,15038,"Sésame, grillé, graine décortiquée",0.0,0.0,16.9,131.0,1.46,7.78,0.0,346.0,1.43,774.0,406.0,0.0,39.0,10.2,0.0,0.0,0.25,0.0,0.0,1.21,0.47,5.44,0.68,0.15,96.0,0.0
2,205,0,Epicerie,15047,"Chia, graine, séchée",0.0,0.0,34.4,631.0,0.92,7.72,0.0,335.0,2.72,860.0,407.0,0.0,16.0,4.58,0.0,0.0,0.5,0.0,1.6,0.62,0.17,8.83,0.0,0.0,49.0,0.0
2,205,0,Epicerie,15052,"Lin, brun, graine",0.0,0.0,26.9,210.0,1.3,5.7,10.0,300.0,2.0,560.0,750.0,10.0,38.0,5.1,0.0,0.125,0.5,4.55,0.0,0.47,0.005,0.05,0.81,0.17,71.6,0.0
2,205,0,Epicerie,15055,"Noix de cajou, grillée à sec, non salée",2610.0,630.0,5.7,38.0,2.7,5.7,0.0,280.0,1.8,530.0,680.0,20.0,8.0,5.6,0.0,0.125,0.58,31.3,0.25,0.36,0.049,0.56,0.98,0.17,25.6,0.0
3,301,30101,Epicerie,9876,"Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées",709.0,168.0,4.9,29.0,0.48,2.7,0.0,59.0,0.57,130.0,240.0,10.0,2.5,1.8,0.0,0.0,0.04,2.12,0.0,0.12,0.005,0.21,0.29,0.066,23.1,0.0
3,301,30102,Epicerie,9080,"Blé dur précuit, entier, cru",1520.0,359.0,6.67,55.0,0.4,0.0,0.0,50.0,3.4,238.0,950.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,8.4,0.6,0.3,331.0,0.0
3,301,30102,Epicerie,9100,"Riz blanc, cru",1490.0,352.0,1.05,33.0,0.19,1.57,2.2,31.3,0.99,118.0,121.0,6.0,2.28,1.41,0.0,0.0,0.08,0.1,0.0,0.15,0.042,1.92,0.88,0.13,19.3,0.0
3,301,30102,Epicerie,9102,"Riz complet, cru",1480.0,350.0,5.0,11.1,0.27,0.5,5.0,118.0,2.2,163.0,219.0,2.5,4.1,2.0,0.0,0.0,0.2,1.9,0.0,0.26,0.05,0.025,1.1,0.09,48.0,0.0
3,301,30102,Epicerie,9108,"Riz sauvage, cru",1460.0,344.0,5.9,6.95,0.5,0.5,5.0,90.1,1.1,317.0,298.0,2.5,2.7,3.7,0.0,0.0,0.05,1.9,0.0,0.41,0.15,3.5,1.1,0.24,49.0,0.0
3,301,30102,Epicerie,9109,"Riz rouge, cru",1490.0,352.0,4.5,13.5,0.5,0.5,5.0,130.0,2.0,372.0,288.0,2.5,11.0,2.1,0.0,0.0,0.7,0.0,0.0,0.26,0.06,1.7,1.1,0.12,15.0,0.0
3,301,30102,Epicerie,9119,"Riz thaï ou basmati, cru",1500.0,353.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,301,30102,Epicerie,9120,"Riz thaï ou basmati, cuit, non salé",0.0,0.0,0.8,10.0,0.07,0.07,10.0,7.2,0.26,29.0,11.0,10.0,2.5,0.44,0.0,0.0,0.04,0.4,0.25,0.01,0.005,0.05,0.16,0.03,10.7,0.048
3,301,30102,Epicerie,9340,"Quinoa, cru",1510.0,358.0,7.0,47.0,0.59,4.57,0.0,197.0,2.03,457.0,563.0,0.0,5.0,3.1,0.0,0.0,2.44,0.0,0.0,0.36,0.32,1.52,0.77,0.49,184.0,0.0
3,301,30102,Epicerie,9610,"Semoule de blé dur, crue",1490.0,352.0,3.37,16.9,0.3,0.92,0.3,26.5,2.31,102.0,152.0,1.0,1.2,2.18,0.0,0.0,0.1,30.0,0.0,0.25,0.063,2.16,0.54,0.094,57.0,0.0
3,301,30102,Epicerie,9690,"Boulgour de blé, cru",1490.0,351.0,9.57,34.3,0.33,2.46,2.7,140.0,3.32,285.0,410.0,4.1,17.0,2.37,0.0,0.0,0.73,16.0,0.0,0.23,0.12,5.11,1.07,0.35,24.0,0.0
3,301,30102,Epicerie,9810,"Pâtes sèches standard, crues",1420.0,336.0,3.0,20.5,0.27,1.5,0.6,57.5,0.75,165.0,219.0,4.8,9.2,1.31,0.0,0.0,0.2,0.1,0.0,0.12,0.048,1.35,0.37,0.096,23.7,0.0
3,301,30102,Epicerie,9863,"Pâtes ou nouilles asiatiques au blé et aux oeufs, crues, nature",1570.0,371.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,301,30102,Epicerie,9870,"Pâtes sèches, au blé complet, crues",1490.0,353.0,6.1,32.1,0.5,3.2,10.0,82.2,1.8,160.0,378.0,5.8,6.2,1.9,0.0,0.0,0.05,0.0,0.0,0.25,0.07,0.87,0.66,0.13,22.4,0.0
3,302,30201,Boulangerie,7110,Pain complet ou intégral (à la farine T150),1030.0,244.0,6.9,39.0,0.21,2.1,10.0,51.0,1.6,180.0,240.0,10.0,448.0,1.4,0.0,0.86,0.29,0.4,0.25,0.11,0.005,0.05,0.44,0.087,35.6,0.0
3,302,30201,Boulangerie,7125,"Pain de seigle, et froment",1100.0,260.0,4.5,33.0,0.14,1.2,10.0,27.0,0.74,110.0,170.0,10.0,538.0,0.86,0.0,0.125,0.26,0.4,0.25,0.11,0.005,0.28,0.44,0.005,49.3,0.0
3,305,30501,Epicerie,9311,Flocon d'avoine,1550.0,367.0,10.2,84.3,0.3,4.05,0.5,148.0,4.72,422.0,377.0,3.05,5.68,3.33,0.0,0.0,0.59,2.0,0.0,0.43,0.14,0.96,1.31,0.12,39.6,0.0
3,305,30501,Epicerie,9415,Farine de blé tendre ou froment T150,1450.0,342.0,10.2,31.9,0.35,2.7,0.0,85.1,2.7,323.0,407.0,0.0,14.0,2.5,0.0,0.0,1.04,0.0,0.25,0.34,0.11,3.48,1.02,0.26,52.4,0.0
3,305,30501,Epicerie,9436,Farine de blé tendre ou froment T55 (pour pains),1480.0,350.0,3.2,23.0,0.14,1.0,10.0,27.0,0.64,110.0,180.0,10.0,2.5,0.81,0.0,0.125,0.4,0.4,0.25,0.15,0.005,0.05,0.56,0.054,15.4,0.0
3,305,30501,Epicerie,9480,Farine d'épeautre (grand épeautre),1490.0,352.0,9.3,31.0,0.42,3.0,10.0,92.0,2.5,340.0,360.0,10.0,2.5,2.8,0.0,0.125,0.0,2.87,0.25,0.29,0.005,0.64,0.71,0.21,59.3,0.0
3,305,30502,Frais,23424,"Pâte feuilletée pur beurre, crue",1540.0,368.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,401,40103,Boucherie,36041,"Poulet, filet, sans peau, sauté/poêlé, bio",611.0,144.0,0.0,4.5,0.03,0.36,10.0,34.0,0.005,270.0,420.0,20.0,46.0,0.64,10.5,0.43,0.082,0.0,0.25,0.035,0.051,14.0,1.51,0.2,8.97,0.19
4,402,40201,Boucherie,6116,"Boeuf, filet, cru",553.0,132.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,8.83,61.8,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73
4,402,40201,Boucherie,6206,"Boeuf, rumsteck, cru",482.0,114.0,0.0,7.33,0.067,2.48,0.9,16.5,0.0075,195.0,326.0,9.3,50.5,3.54,6.0,0.5,0.29,1.5,0.0,0.062,0.21,6.17,0.58,0.57,5.0,1.52
4,402,40201,Boucherie,6250,"Boeuf, steak haché 5% MG, cru",547.0,130.0,0.0,7.0,0.082,2.65,0.8,22.0,0.011,184.0,353.0,6.72,37.8,4.54,4.0,0.25,0.2,0.3,0.0,0.048,0.17,4.7,0.64,0.34,6.0,2.12
4,402,40201,Boucherie,6254,"Boeuf, steak haché 15% MG, cru",873.0,209.0,0.0,9.33,0.069,2.64,1.0,20.0,0.011,171.0,302.0,6.78,41.7,4.8,9.5,0.35,0.26,1.3,1.0,0.048,0.17,4.1,0.51,0.2,5.75,1.9
4,402,40201,Boucherie,6560,"Veau, épaule, crue",523.0,124.0,0.0,16.0,0.12,1.16,2.8,24.0,0.029,208.0,311.0,6.9,61.1,3.98,0.0,0.5,0.26,0.0,0.0,0.09,0.29,6.0,1.45,0.38,11.0,2.69
4,402,40202,Boucherie,28302,"Porc, échine, crue",826.0,198.0,0.0,5.0,0.083,1.0,3.13,19.6,0.03,148.0,250.0,17.9,76.0,1.76,9.0,0.24,0.0,0.0,0.0,0.89,0.22,4.5,0.0,0.0,0.0,0.56
4,402,40203,Boucherie,36029,"Poulet, poitrine, viande et peau, cru",657.0,157.0,0.0,11.0,0.039,0.82,0.0,25.0,0.018,186.0,220.0,0.0,63.0,0.8,24.0,0.95,0.39,0.0,1.0,0.062,0.088,9.9,0.8,0.53,4.0,0.34
4,402,40203,Boucherie,36038,"Poulet, cuisse, viande et peau, cru, label rouge",723.0,173.0,0.0,6.1,0.07,1.0,10.0,23.0,0.02,200.0,330.0,20.0,84.0,1.8,34.0,0.73,0.89,0.0,1.09,0.08,0.095,5.1,1.62,0.19,6.04,0.48
4,402,40203,Boucherie,36040,"Poulet, filet, sans peau, cru, label rouge",478.0,113.0,0.0,3.6,0.02,0.3,10.0,30.0,0.005,230.0,370.0,10.0,40.0,0.54,10.5,0.125,0.35,0.0,1.12,0.058,0.022,12.7,1.12,0.37,12.0,0.21
4,402,40204,Boucherie,36304,"Dinde, escalope, crue",463.0,109.0,0.0,16.4,0.07,1.02,0.0,28.0,0.011,201.0,242.0,10.0,82.8,1.28,6.0,0.1,0.06,0.0,0.0,0.042,0.15,9.92,0.78,0.81,7.0,0.63
4,402,40205,Boucherie,21502,"Agneau, gigot, cru",538.0,128.0,0.0,10.0,0.12,1.51,0.7,21.9,0.015,177.0,255.0,7.73,48.7,3.0,45.0,0.4,0.46,0.0,1.0,0.15,0.27,6.52,0.63,0.26,9.8,2.17
4,402,40207,Boucherie,36206,"Canard, magret, cru",1410.0,340.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,402,40208,Boucherie,40106,"Foie, veau, cru",505.0,120.0,0.0,4.9,22.0,4.6,10.0,18.0,0.13,280.0,320.0,40.0,62.7,5.3,13800.0,0.62,0.79,0.4,9.75,0.14,0.67,17.1,3.13,0.5,1180.0,46.5
4,403,40301,Charcuterie,28900,"Jambon cuit, supérieur",527.0,125.0,0.075,10.0,0.2,0.54,2.5,22.5,0.1,193.0,362.0,10.4,749.0,2.0,0.0,0.25,0.25,0.0,18.1,0.54,0.2,5.73,0.4,0.3,16.0,0.31
4,403,40301,Charcuterie,28910,"Jambon cuit, choix",528.0,125.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,403,40301,Charcuterie,28963,Jambon de poulet ou Blanc de poulet en tranche,446.0,106.0,0.53,6.3,0.04,0.34,10.0,29.0,0.01,240.0,380.0,25.0,766.0,0.58,10.5,0.25,0.51,0.4,17.9,0.086,0.08,9.62,1.16,0.3,5.64,0.29
4,403,40302,Charcuterie,28800,Jambon cru,939.0,225.0,0.0,10.4,0.079,0.97,1.2,36.2,0.012,228.0,591.0,5.66,2250.0,2.37,0.0,0.6,0.21,0.0,13.0,0.89,0.21,8.1,0.0,0.56,1.24,0.33
4,403,40302,Charcuterie,28801,"Jambon cru, fumé",1020.0,246.0,0.0,5.16,0.05,0.9,2.5,20.0,0.05,275.0,256.0,24.2,2050.0,0.28,0.0,0.25,0.03,0.0,0.0,0.41,0.19,3.4,0.6,0.4,1.5,1.0
4,403,40304,Charcuterie,30110,"Saucisse de Toulouse, crue",1350.0,327.0,0.0,28.9,0.069,0.9,7.0,21.7,0.023,137.0,0.0,11.2,747.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,403,40304,Charcuterie,30150,"Merguez, crue",1310.0,316.0,0.0,22.1,0.083,0.0,7.0,23.3,0.055,60.0,0.0,2.38,900.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,403,40308,Charcuterie,28501,"Lardon nature, cru",1120.0,270.0,0.38,10.0,0.35,0.42,0.7,15.6,0.1,147.0,540.0,5.77,1130.0,1.67,0.0,0.75,0.3,0.0,0.8,0.42,0.16,4.87,0.4,0.21,1.0,0.38
4,403,40308,Charcuterie,28720,"Lardon fumé, cru",1140.0,275.0,0.34,18.2,0.05,0.6,11.1,23.8,0.05,122.0,596.0,2.5,1100.0,1.2,1.0,0.48,0.19,0.0,0.9,0.38,0.11,4.9,0.44,0.25,21.1,0.42
4,403,40308,Charcuterie,30315,Chorizo,1790.0,433.0,0.93,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,404,0,Charcuterie,6260,"Haché à base de boeuf ou Préparation de viande hachée de boeuf, 15% MG, cru, prémeballé",0.0,0.0,1.55,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,405,0,Poissonnerie,26037,Saumon fumé,743.0,178.0,0.125,5.97,0.035,0.16,40.0,38.3,0.0098,214.0,551.0,5.0,1410.0,0.24,15.0,5.45,2.85,0.0,0.0,0.23,0.1,10.0,0.71,1.0,26.0,3.35
4,406,0,Poissonnerie,26018,"Lotte ou baudroie, crue",285.0,67.2,0.1,18.2,0.027,0.3,32.2,20.7,0.022,241.0,296.0,34.5,77.8,0.55,6.0,1.43,0.0,0.0,0.67,0.027,0.06,2.1,0.15,0.24,7.0,0.9
4,406,0,Poissonnerie,26036,"Saumon, cru, élevage",807.0,194.0,0.125,5.84,0.05,0.48,8.21,27.4,0.05,181.0,358.0,16.5,45.4,0.36,4.27,3.69,1.89,0.3,1.8,0.21,0.076,8.25,0.95,0.58,20.8,3.95
4,406,0,Poissonnerie,26043,"Cabillaud, cru",329.0,77.6,0.1,4.43,0.05,0.49,101.0,25.6,0.05,163.0,357.0,136.0,65.2,0.39,1.0,1.41,0.51,0.1,1.0,0.02,0.049,2.18,0.14,0.16,21.2,1.32
4,406,0,Poissonnerie,26051,"Maquereau, cru",808.0,194.0,0.0,4.92,0.05,0.48,87.2,28.4,0.05,190.0,340.0,37.6,64.0,0.6,56.6,6.44,1.08,3.6,0.2,0.086,0.19,9.13,0.32,0.53,8.16,4.9
4,406,0,Poissonnerie,26053,"Thon, cru",607.0,144.0,0.0,17.7,0.13,1.77,26.9,34.9,0.023,229.0,429.0,97.1,49.0,0.55,265.0,7.8,1.2,0.0,1.37,0.13,0.12,11.0,0.66,0.54,13.6,3.79
4,406,0,Poissonnerie,26134,"Lieu noir, cru",350.0,82.5,0.0,14.7,0.05,1.3,143.0,30.7,0.05,207.0,385.0,120.0,80.5,0.57,2.8,1.77,0.36,0.0,0.0,0.13,0.15,2.26,0.4,0.25,10.0,4.38
4,406,0,Poissonnerie,26161,"Saumon, cru, sauvage",695.0,166.0,0.0,13.5,0.16,0.66,12.2,29.2,0.016,225.0,436.0,27.0,46.0,0.58,19.5,4.3,1.11,0.3,0.0,0.21,0.24,8.83,1.48,0.49,13.1,4.84
4,407,0,Poissonnerie,10007,"Crevette, cuite",397.0,93.8,0.0,240.0,0.68,1.98,2.5,61.0,0.077,57.0,254.0,21.5,541.0,1.69,1.0,0.25,2.48,0.2,0.83,0.019,0.04,1.77,0.31,0.1,14.6,1.64
4,408,0,Poissonnerie,10001,"Calmar ou calamar ou encornet, cru",326.0,77.0,0.0,17.5,0.15,0.2,12.8,44.2,0.05,166.0,227.0,23.8,243.0,1.13,2.0,0.36,1.39,0.0,4.7,0.02,0.032,1.57,0.24,0.096,11.0,3.15
4,408,0,Poissonnerie,10021,"Crevette, crue",420.0,99.0,0.0,84.8,0.72,3.21,120.0,49.8,0.17,195.0,278.0,34.0,182.0,2.81,0.0,0.1,1.7,0.0,0.0,0.035,0.03,3.2,0.37,0.15,19.0,1.0
4,409,0,Epicerie,26000,"Anchois, filets à l'huile, semi-conserve, égoutté",765.0,182.0,0.125,189.0,0.25,3.22,30.0,43.7,0.1,231.0,355.0,8.0,4210.0,2.92,5.0,1.7,1.16,12.1,0.25,0.02,0.25,3.9,0.63,0.37,14.5,20.9
4,409,0,Epicerie,26039,"Thon, au naturel, appertisé, égoutté",471.0,111.0,0.0,6.26,0.031,0.76,16.0,24.0,0.0037,155.0,207.0,305.0,251.0,0.45,6.5,5.08,1.2,0.0,0.0,0.03,0.053,13.6,0.094,0.44,16.3,2.53
4,409,0,Epicerie,26040,"Sardine, à l'huile d'olive, appertisée, égouttée",845.0,202.0,0.0,798.0,0.05,3.3,15.0,0.0,0.16,530.0,357.0,11.0,291.0,2.2,4.0,10.8,1.9,0.0,0.0,0.02,0.15,7.1,0.69,0.36,12.0,13.7
4,409,0,Epicerie,26119,"Saumon, appertisé, égoutté",751.0,180.0,0.0,270.0,0.038,0.45,30.0,42.0,0.048,440.0,300.0,42.0,488.0,0.7,90.0,13.0,1.5,0.0,0.0,0.04,0.18,7.0,0.55,0.45,12.0,3.1
4,410,41002,Œufs,22000,"Oeuf, cru",584.0,140.0,0.0,76.8,0.055,1.88,21.0,11.0,0.027,204.0,134.0,1.29,124.0,1.01,182.0,1.88,1.43,0.3,0.0,0.055,0.45,0.063,1.57,0.15,34.0,1.45
4,410,41002,Œufs,22002,"Oeuf, jaune (jaune d'oeuf), cru",1270.0,307.0,0.0,50.2,0.05,0.7,175.0,1.5,0.05,141.0,43.0,83.5,19.1,1.1,336.0,2.0,3.89,0.7,0.0,0.17,0.38,0.08,2.87,0.29,159.0,3.03
4,411,0,Traiteur,20904,"Tofu nature, préemballé",617.0,148.0,0.25,100.0,0.24,2.4,10.0,100.0,0.93,210.0,140.0,10.0,10.0,1.3,0.0,0.125,0.71,12.7,0.25,0.024,0.005,0.13,0.14,0.028,25.1,0.0
5,501,50101,Produits laitiers,19041,"Lait demi-écrémé, UHT",198.0,47.0,0.0,117.0,0.0087,0.045,12.1,12.1,0.0031,89.1,167.0,5.0,36.0,0.39,19.2,0.25,0.13,0.2,1.5,0.06,0.18,0.093,0.41,0.037,9.49,0.38
5,501,50101,Produits laitiers,19060,Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose,187.0,44.4,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,502,50201,Produits laitiers,19544,"Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus",0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,502,50201,Produits laitiers,19593,"Yaourt, lait fermenté ou spécialité laitière, nature",191.0,45.5,1.5,128.0,0.0078,0.25,26.3,12.5,0.0053,98.0,176.0,1.675,43.0,0.39,11.0,0.8,0.076,0.2,0.25,0.04,0.26,0.19,0.31,0.057,25.0,0.33
