Identifiant,NomFamPetitDejeuner,TextRecette,NumIng1,QteIng1,UniteIng1,NumIng2,QteIng2,UniteIng2,NumIng3,QteIng3,UniteIng3,NumIng4,QteIng4,UniteIng4,NumIng5,QteIng5,UniteIng5,NumIng6,QteIng6,UniteIng6,NumIng7,QteIng7,UniteIng7,NumIng8,QteIng8,UniteIng8,NumIng9,QteIng9,UniteIng9,NumIng10,QteIng10,UniteIng10,NumIng11,QteIng11,UniteIng11,NumIng12,QteIng12,UniteIng12,NumIng13,QteIng13,UniteIng13,NumIng14,QteIng14,UniteIng14,NumIng15,QteIng15,UniteIng15,Viande,Poisson,Prix,DurPrep,SaisDeb,SaisFin,Diff,Medi,Sanssel,Ig(bas:55 ou moins; moyen: 56-60 élevé: >ou=70),MacroN,Porc,Goût
1,Œuf et fromage blanc aux graines,"Astudes: - Commencer par manger la mandarine, l'idéal  au moins 10min avant le reste - Faire l'œuf à la coque (environ 5'30"" dans l'eau bouillante). Moudre le mélange de graines et mélanger avec la cannelle puis l'ajouter au fromage blanc. Le mélange de graine peut être préparé pour 2 ou 3 matins et conservé au frigo. Les amandes peuvent être remplacées par les noix",13024,50,g,22000,1,oeuf,19646,180,g,15052,15.0,g,15000,15,g,20139.0,15.0,g,11025.0,2.0,g,31008.0,7.0,g,,,,,,,,,,,,,,,,,,,,,,non,non,bon marché,20,janvier,décembre,facile,oui,<7g,bas,P-L-G,non,salé
2,Céréales complètes au lait,"Astuces: Pour ceux qui sont intolérant au lait, il peut être remplacé par une boisson végétale (lait d'épeautre par exemple). Moudre le mélange de graines et l'ajouter aux céréales ainsi que le cacao. Ce mélange peut être préparé pour 2 ou 3 matins de la semaine et conservé au frigo. Les amandes peuvent être remplacées par les noix",9311,50,g,19041,250,ml,32136,25,g,15052,10.0,g,15000,10,g,20139.0,10.0,g,18167.0,2.0,g,,,,,,,,,,,,,,,,,,,,,,,,,non,non,bon marché,10,janvier,décembre,facile,oui,<7g,bas,P-L-G,non,sucré
3,Crêpe sucré à la farine de petit épeautre,"Dans un grand bol, mélangez la farine complète, le lait et le sel, mélangez puis ajoutez les œufs. Fouettez jusqu'à obtention d'une pâte lisse et homogène. La consistance doit être assez liquide. Faites cuire les crêpes dauns une poêle antiadhésive à feu moyen. Astuces: Déguster 4 ou 5 crêpes accompagnées de miel, pate à tartiner bio ou sirop d'érable. Conserver la pâte au congélateur pour le lendemain.",9480,200,g,22000,3,oeuf,18107,400,ml,31008,15.0,g,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non,non,bon marché,15,janvier,décembre,facile,oui,<7g,bas,P-L-G,non,sucré
4,Tartines de fromage et saumon,"Astuces: La tranche de saumon fumée peut être remplacé par une tranche de poulet ou truite fumée, le fromage de chêvre peut être remplacé par de la brebis. La ciboulette est à mettre sur la tartine",22000,1,oeuf,7110,80,g,16412,10,g,12061,30.0,g,26037,30,g,11003.0,1.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,non,non,bon marché,10,janvier,décembre,facile,oui,<7g,bas,P-L-G,non,salé
5,Omelette aux champignons,"Nettoyez et coupez les champignons en fines lamelles. versez un peu d'huile dans une poêle à feu moyen. Faites revenir les champignons jusqu'à ce qu'ils soient dorés. Salez et poivrez. Réservez.
Battez les œufs, le sel et le poivre dans un bol. Versez un peu d'huile  dans une poêle, chauffer et versez les œufs battus et laissez cuire en remuant légèrement les bords vers le centre.
Lorsque l'omelette est presque cuite, ajoutez les champignons sur une moitié. Repliez l'omelette en deux et faites glisser sur une assiette.",22000,2,oeuf,20228,80,g,17270,20,ml,20238,20.0,g,12800,20,g,11060.0,1.0,g,11003.0,1.0,g,11015.0,1.0,pincée,11017.0,1.0,pincée,,,,,,,,,,,,,,,,,,,non,non,bon marché,15,janvier,décembre,facile,oui,<7g,bas,P-L,non,salé
6,Yaourt grec à l'avoine,"Lavez et coupez les fraises en morceaux.Concassez légèrement les amandes. Dans un bol, versez le yaourt grec. Ajoutez les flocons d'avoine et mélangez bien. Incorporez 1 cuillère à soupe de miel. Mélangez à nouveau. Disposez les morceaux de fraises sur le yaourt mélangé. Saupoudrez d'amandes concassées. Ajoutez la cannelle. Prendre une pomme ensuite.",19594,200,g,9311,30,g,31008,15,g,13014,50.0,g,15000,10,g,11025.0,2.0,pincée,13039.0,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,non,non,bon marché,15,mai,juillet,facile,oui,<7g,moyen,P-G,non,sucré
7,Les crêpes à l’avoine,"Dans un grand bol, mélangez la farine d'avoine, la farine complète, la levure chimique. Ajoutez les œufs, le lait et l'huile de coco. Fouettez jusqu'à obtention d'une pâte lisse et homogène. La consistance doit être assez liquide. Faites cuire les crêpes dauns une poêle antiadhésive à feu moyen. Astuces: Déguster 4 ou 5 crêpes accompagnées de miel, pate à tartiner bio ou sirop d'érable. Conserver la pâte au congélateur pour le lendemain.",9311,100,g,9480,80,g,11046,5,g,22000,2.0,oeuf,19041,250,ml,16040.0,15.0,ml,31008.0,15.0,g,11017.0,1.0,pincée,,,,,,,,,,,,,,,,,,,,,,non,non,bon marché,25,janvier,décembre,facile,oui,<7g,bas,P-L-G,non,sucré
8,L’omelette aux légumes,"Lavez et coupez les champignons en petites tranches. Assurez-vous qu'ils sont de taille uniforme pour une cuisson uniforme dans l'omelette. Dans un bol, battez les œufs avec une pincée de sel et de poivre. Faites chauffer un peu d'huile d'olive dans une poêle à feu moyen. Faites revenir l'oignon jusqu'à ce qu'il soit transparent, puis ajoutez les champignons coupés.
Faites cuire les légumes pendant environ 3-4 min,en remuant de temps en temps. Réduisez le feu à moyen-doux. Versez les œufs battus dans la poêle sur les champignons  cuits. Laissez cuire l'omelette pendant environ 2-3min,en utilisant une spatule pour soulever doucement les bords de l'omelette et laisser le liquide non cuit s'écouler vers le fond de la poêle. Une fois que le dessus de l'omelette n'est plus liquide mais encore légèrement humide, pliez-la en deux à l'aide de la spatule. Laissez cuire encore 1min pour assurer que l'omelette soit bien cuite à l'intérieur.Glissez délicatement l'omelette dans une assiette et servez immédiatement.",22000,2,oeuf,20228,100,g,20034,20,g,17270,15.0,ml,11015,1,pincée,11017.0,1.0,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,non,non,bon marché,15,janvier,décembre,facile,oui,<7g,bas,P-L,non,salé
9,La Brouillade de tofu,"Égouttez le tofu et pressez-le légèrement pour en retirer l'excès d'eau. Vous pouvez le faire en l'enveloppant dans du papier absorbant et en plaçant un poids léger dessus pendant quelques minutes. Ensuite, émiettez-le grossièrement à la fourchette.Faites chauffer l'huile d'olive dans une poêle à feu moyen. Ajoutez les oignons et faites-les revenir jusqu'à ce qu'ils deviennent translucides, environ 2-3 min. Ajoutez le poivron rouge et faites cuire pendant environ 2min jusqu'à ce qu'il commence à ramollir légèrement.  Ajoutez le tofu émietté dans la poêle avec les légumes. Saupoudrez de curcuma, de cumin, de sel et de poivre. Mélangez bien pour incorporer les épices avec le tofu. Faites cuire le mélange de tofu et de légumes pendant environ 5-7min, en remuant de temps en temps, jusqu'à ce que le tofu soit bien chaud et que les saveurs se soient mélangées. Garnissez éventuellement de persil  frais haché avant de servir chaud.",20904,150,g,17270,15,ml,20034,20,g,20041,50.0,g,20059,50,g,11089.0,1.0,pincée,11042.0,2.0,g,11024.0,2.0,g,11015.0,1.0,pincée,11017.0,1.0,pincée,,,,,,,,,,,,,,,,non,non,bon marché,20,juin,septembre,facile,oui,<7g,moyen,P-L,non,salé
10,Sandwich méditerranéen,"Tranchez le concombre, la tomate et le poivron rouge selon les quantités indiquées. Tranchez les olives noires. Préparez les feuilles de roquette. Ouvrez le pain en deux pour former une poche.
Étalez uniformément le houmous à l'intérieur du pain. Disposez les tranches de concombre, de tomate et de poivron à l'intérieur du sandwich.
Ajoutez les olives tranchées et les feuilles de roquette. Arrosez légèrement d'huile d'olive selon votre goût. Assaisonnez avec du sel et du poivre selon vos préférences. Refermez le pain sur les légumes pour former un sandwich.",7110,100,g,25621,30,g,20019,60,g,20047,60.0,g,20041,30,g,20217.0,30.0,g,17270.0,10.0,ml,13186.0,20.0,g,11015.0,1.0,pincée,11017.0,1.0,pincée,,,,,,,,,,,,,,,,non,non,bon marché,20,juin,septembre,facile,oui,<7g,bas,P-L-G,non,salé
11,Bols d'Avoine au lait d'amande,"Dans un bol hermétique, mélangez les flocons d'avoine, le lait d'amande, le yaourt, les graines de chia, le miel, et l'extrait de vanille. Remuez bien. Couvrez le bol et placez-le au réfrigérateur pendant au moins 4 heures, de préférence toute la nuit. Le matin, sortez le bol du réfrigérateur. Mélangez à nouveau pour vérifier la consistance. Si le mélange est trop épais, ajoutez un peu plus de lait d'amande.
Ajoutez les fraises coupés en morceaux et les  graines de tournseol (ou de votre choix sur le dessus). Servez",9311,50,g,18107,150,ml,31034,5,ml,11098,2.5,ml,19594,50,g,13014.0,50.0,g,15011.0,10.0,g,15047.0,10.0,g,,,,,,,,,,,,,,,,,,,,,,non,non,bon marché,20,mai,juillet,facile,oui,<7g,moyen,P-L-G,non,sucré
